Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean,Rolling_Std,Rolling_Volatility,ATR,GARCH_Volatility
3/20/2015,28.08012962,28.63771587,27.91508407,28.60426196,274780400,-0.012549121,-0.001308255,0.014538113,0.014538113,0.601876311,0.014509026
3/23/2015,28.37229729,28.51503963,28.21840251,28.35222494,150838800,0.010404783,-0.00213935,0.013251198,0.013251198,0.610159735,0.014643815
3/24/2015,28.2563324,28.5574279,28.22733673,28.37677162,131369200,-0.004087258,-0.002031701,0.01322485,0.01322485,0.613983287,0.014300265
3/25/2015,27.51807976,28.28532132,27.51807976,28.22287174,206620800,-0.02612698,-0.002059385,0.013277199,0.013277199,0.621152337,0.013842927
3/26/2015,27.70988464,27.85262699,27.34410716,27.3797936,190291600,0.006970141,-0.002343692,0.013003564,0.013003564,0.607929618,0.016066829
3/27/2015,27.48908997,27.81249034,27.41325881,27.78349638,158184800,-0.007968084,-0.001990691,0.012734139,0.012734139,0.564596799,0.015379469
3/30/2015,28.1849556,28.19164638,27.65636162,27.66751406,188398800,0.025314248,-0.000970185,0.014064139,0.014064139,0.560295121,0.01500168
3/31/2015,27.75226784,28.21171977,27.73665544,28.12250536,168362400,-0.015351728,-0.001842342,0.014401101,0.014401101,0.551851659,0.016244778
4/1/2015,27.71212387,27.90616511,27.45563305,27.83925387,162485600,-0.001446511,-0.001597724,0.014362201,0.014362201,0.531937796,0.016397251
4/2/2015,27.95076942,28.00429739,27.69874028,27.88608902,128880400,0.008611594,-0.000338621,0.014081575,0.014081575,0.508837643,0.015612275
4/6/2015,28.40353394,28.43922039,27.72996834,27.76119314,148776000,0.016198642,0.000396168,0.01455808,0.01455808,0.526361937,0.01504698
4/7/2015,28.10467148,28.57527428,28.09798069,28.46821831,140049200,-0.010522017,-0.000343208,0.01472577,0.01472577,0.522697474,0.015123178
4/8/2015,28.01321983,28.19164867,27.87270827,28.06897863,149316800,-0.003253966,0.000528393,0.013954,0.013954,0.501031188,0.014975442
4/9/2015,28.22733307,28.23179473,27.80356757,28.06897829,129936000,0.007643293,0.001822125,0.013307669,0.013307669,0.502146357,0.014403168
4/10/2015,28.34777451,28.37230851,27.93739054,28.09128368,160752000,0.004266837,0.001131506,0.012767004,0.012767004,0.481595369,0.013940515
4/13/2015,28.2920208,28.6756434,28.23849281,28.63103363,145460400,-0.001966775,0.001378688,0.012650435,0.012650435,0.48175541,0.01342426
4/14/2015,28.16935349,28.39015791,28.08236987,28.32547748,102098400,-0.004335756,0.000611698,0.01250027,0.01250027,0.48016233,0.012997742
4/15/2015,28.27640724,28.35446923,28.10467086,28.19388529,115881600,0.003800363,-3.46E-05,0.011945039,0.011945039,0.443202102,0.012719521
4/16/2015,28.14035034,28.34777314,28.12696877,28.16488435,113476000,-0.004811676,-0.000838016,0.01168315,0.01168315,0.422650998,0.012344341
4/17/2015,27.82364464,28.13366347,27.75896422,28.0020735,207828000,-0.011254505,-0.001023224,0.011823673,0.011823673,0.421376326,0.012180738
4/20/2015,28.45928764,28.57526518,27.91731211,28.00652652,188217200,0.022845426,0.000746504,0.01262915,0.01262915,0.424880906,0.012572697
4/21/2015,28.30539703,28.59311093,28.25186736,28.57080946,129740400,-0.005407395,-4.41E-05,0.012486835,0.012486835,0.415322281,0.013983822
4/22/2015,28.68679047,28.74254927,28.17381045,28.32324365,150618000,0.01347423,0.000833969,0.012801065,0.012801065,0.423765621,0.013631432
4/23/2015,28.92097473,29.08825114,28.57973114,28.61541759,183083600,0.008163488,0.002548492,0.011195664,0.011195664,0.43826297,0.013667593
4/24/2015,29.057024,29.13508768,28.82283637,29.10386289,178103600,0.004704173,0.002435194,0.011159972,0.011159972,0.409905774,0.013323152
4/27/2015,29.58561516,29.69267449,29.25106239,29.50978401,387816800,0.01819151,0.003743174,0.011406765,0.011406765,0.421216982,0.012891665
4/28/2015,29.1194725,30.00715157,28.89866985,29.98931175,475696000,-0.01575572,0.001689675,0.01100892,0.01100892,0.47761279,0.01356887
4/29/2015,28.69124603,29.34919915,28.61541489,29.03026047,253544400,-0.014705846,0.001721969,0.010957124,0.010957124,0.499438298,0.014236736
4/30/2015,27.91285515,28.69124751,27.78572515,28.69124751,332781600,-0.027129909,0.0004378,0.012712453,0.012712453,0.533052896,0.01465314
5/1/2015,28.76038933,29.02357264,27.94631218,28.12473933,234050400,0.030363579,0.001525399,0.014282132,0.014282132,0.581164819,0.016842159
5/4/2015,28.70463181,29.12170998,28.60649577,28.88306066,203953200,-0.001938692,0.000618532,0.013871315,0.013871315,0.595980974,0.018471344
5/5/2015,28.057827,28.64886888,28.05336534,28.58195764,197085600,-0.022533116,1.80E-05,0.014618892,0.014618892,0.624657266,0.017475998
5/6/2015,27.88163185,28.26971264,27.51362342,28.2273354,288564000,-0.006279715,-0.00013331,0.014670101,0.014670101,0.662891898,0.018304657
5/7/2015,28.05408669,28.23773942,27.77636657,27.9443417,175763600,0.006185249,-0.000206212,0.014632998,0.014632998,0.668605236,0.017477999
5/8/2015,28.58264923,28.58264923,28.24445882,28.37211985,222201600,0.01884084,0.000522488,0.015218634,0.015218634,0.652672521,0.016609114
5/11/2015,28.29149437,28.5692128,28.13695669,28.53113885,168143200,-0.01018642,0.000111505,0.015399309,0.015399309,0.660133162,0.016714748
5/12/2015,28.19070435,28.4169096,27.9555385,28.13023235,192640000,-0.003562556,0.000150166,0.015388524,0.015388524,0.65246404,0.016321217
5/13/2015,28.22206688,28.48634786,28.19071165,28.25342211,138776800,0.001112513,1.58E-05,0.015366689,0.015366689,0.637258577,0.015604213
5/14/2015,28.88052368,28.88052368,28.47962454,28.53561625,180814000,0.023331275,0.001422921,0.016168967,0.016168967,0.661987541,0.014873796
5/15/2015,28.84021378,29.00147019,28.71479288,28.90740452,152832000,-0.001395747,0.001915858,0.015910345,0.015910345,0.637060885,0.015851503
