Date,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean,Rolling_Std,Rolling_Volatility,ATR,GARCH_Volatility
1/13/2017,56.60574722,56.75922208,56.28976412,56.53352133,19422300,0.001437484,4.06E-05,0.00722189,0.00722189,0.695802776,0.01160045
1/17/2017,56.45226288,56.60574116,56.00086144,56.58768469,20664000,-0.002711462,-1.52E-05,0.007239484,0.007239484,0.690645376,0.011256116
1/18/2017,56.42518997,56.60575127,56.08212385,56.57866484,19670100,-0.000479572,0.000184521,0.00716471,0.00716471,0.672589408,0.011082937
1/19/2017,56.24462891,56.85853525,56.15434998,56.19046293,18451700,-0.003200008,-0.001034856,0.005210917,0.005210917,0.686131395,0.010860949
1/20/2017,56.64185715,56.71407959,56.30781758,56.57865777,30213500,0.00706251,-0.000618858,0.005515414,0.005515414,0.689355122,0.01079851
1/23/2017,56.84046936,56.98491769,56.48837678,56.60574212,23097600,0.003506457,-0.000443535,0.005591331,0.005591331,0.662915652,0.010846317
1/24/2017,57.346035,57.54465272,56.82240772,57.05713838,24672900,0.008894466,-6.69E-06,0.005969294,0.005969294,0.668719636,0.010687998
1/25/2017,57.49049759,57.86967321,57.2828533,57.73425482,23672700,0.002519138,0.000363161,0.005880088,0.005880088,0.670009138,0.010927345
1/26/2017,58.02314758,58.26690826,57.37313174,57.88773264,43554600,0.009265009,0.000794804,0.006208558,0.006208558,0.693224112,0.010728318
1/27/2017,59.38637543,59.50374422,58.58288137,59.03428284,44818000,0.023494552,0.002198657,0.007878434,0.007878434,0.727401595,0.010996926
1/30/2017,58.79953766,59.39539075,58.501618,59.30511186,31651400,-0.00988169,0.001776016,0.008298789,0.008298789,0.756420044,0.013733468
1/31/2017,58.36621857,58.81762009,58.01412593,58.55580638,25270500,-0.00736943,0.002011678,0.007943859,0.007943859,0.762868548,0.013674221
2/1/2017,57.40021515,58.33913108,57.30090627,58.10440037,39671500,-0.016550728,0.000830107,0.008855385,0.008855385,0.787373591,0.013358891
2/2/2017,57.03007126,57.24674552,56.6508956,57.10229716,45827000,-0.006448476,0.00073139,0.008928331,0.008928331,0.747391774,0.014397647
2/3/2017,57.49049759,57.50855406,56.93978719,57.32799277,30301800,0.008073396,0.00113506,0.009074829,0.009074829,0.754485268,0.013860656
2/6/2017,57.45438004,57.46340999,57.00297855,57.32798817,19796400,-0.000628235,0.000670264,0.008905191,0.008905191,0.746101929,0.013359271
2/7/2017,57.26478195,57.58076155,57.0842207,57.54465206,20277200,-0.003299976,0.000664397,0.008907901,0.008907901,0.744167174,0.012707347
2/8/2017,57.18354797,57.60786653,57.07521257,57.39119227,18096400,-0.001418568,0.000609442,0.008917675,0.008917675,0.731914938,0.012276547
2/9/2017,57.8335495,58.176619,57.16547731,57.34603857,22644400,0.011366932,0.000722658,0.009044646,0.009044646,0.770607152,0.011846072
2/10/2017,57.77938843,58.05023207,57.76133196,58.00508916,18170700,-0.000936499,0.001134765,0.008752826,0.008752826,0.755775667,0.012092253
2/13/2017,58.42942047,58.55581236,57.89676304,57.99607193,22920100,0.011250241,0.001625403,0.009040971,0.009040971,0.759645591,0.011682568
2/14/2017,58.6473999,58.78364273,58.14784517,58.5020793,23108400,0.003730645,0.001947508,0.008992958,0.008992958,0.763143995,0.011953025
2/15/2017,58.61106491,58.64739679,58.27500714,58.58381773,17005200,-0.00061955,0.001940509,0.008995001,0.008995001,0.725902298,0.01157969
2/16/2017,58.60197067,59.25593057,58.52931385,58.80179252,20546300,-0.000155162,0.002092752,0.008928942,0.008928942,0.67204659,0.011261555
2/17/2017,58.69281387,58.75639293,58.40216575,58.55657105,21248800,0.001550173,0.001817135,0.00885221,0.00885221,0.633507621,0.010996754
2/21/2017,58.57473755,58.99254382,58.53840566,58.6837332,20655900,-0.002011768,0.001541223,0.00888273,0.00888273,0.608553621,0.010773028
2/22/2017,58.45665741,58.48390459,58.175094,58.42941023,19292700,-0.002015888,0.000995706,0.008741269,0.008741269,0.561005853,0.01066704
2/23/2017,58.69281387,58.79272482,58.30225481,58.51115447,20273100,0.004039856,0.001071742,0.008761808,0.008761808,0.5425166,0.010583739
2/24/2017,58.69281387,58.85630388,58.25683822,58.61106541,21796800,0,0.000608491,0.00854814,0.00854814,0.54470937,0.010499359
2/27/2017,58.33857727,58.62014065,58.17508729,58.62014065,15871500,-0.006035434,-0.000868008,0.006747757,0.006747757,0.546867052,0.010388443
